date,close
11-Jan-13,1
10-Jan-13,1
8-Jan-13,2
7-Jan-13,4
6-Jan-13,2
5-Jan-13,1
4-Jan-13,1
2-Jan-13,1
1-Jan-13,5
31-Jan-13,1
30-Jan-13,3
29-Jan-13,4
28-Jan-13,4
27-Jan-13,2
26-Jan-13,1
25-Jan-13,2
24-Jan-13,1
23-Jan-13,2
22-Jan-13,1
21-Jan-13,2
20-Jan-13,1
19-Jan-13,3
18-Jan-13,4
17-Jan-13,11
14-Jan-13,4
13-Jan-13,1
12-Jan-13,4
11-Jan-13,5
10-Jan-13,4
9-Jan-13,6
8-Jan-13,2
7-Jan-13,2
2-Jan-13,1
24-Jan-12,2
22-Jan-12,1
20-Jan-12,2
18-Jan-12,2
17-Jan-12,1
13-Jan-12,2
12-Jan-12,3
11-Jan-12,2
10-Jan-12,4
7-Jan-12,1
6-Jan-12,5
5-Jan-12,1
4-Jan-12,2
3-Jan-12,7
1-Jan-12,1
30-Jan-12,3
29-Jan-12,6
28-Jan-12,4
27-Jan-12,2
26-Jan-12,4
25-Jan-12,2
24-Jan-12,1
23-Jan-12,4
22-Jan-12,7
21-Jan-12,3
16-Jan-12,2
14-Jan-12,1
13-Jan-12,1
8-Jan-12,1
7-Jan-12,2
6-Jan-12,2
5-Jan-12,1
2-Jan-12,1
31-Jan-12,1
29-Jan-12,1
26-Jan-12,3
25-Jan-12,2
24-Jan-12,1
22-Jan-12,1
18-Jan-12,1
17-Jan-12,1
16-Jan-12,3
14-Jan-12,1
11-Jan-12,1
10-Jan-12,1
8-Jan-12,1
5-Jan-12,1
4-Jan-12,1
2-Jan-12,1
1-Jan-12,2
28-Jan-12,5
